sampMatCode.base.building.DESC,organic,mean,sum,count
Durum wheat grain,1,0.0,0,4341
Eddoe taros,0,0.001160092807424594,1,862
Einkorn wheat grain,0,0.0,0,268
Einkorn wheat grain,1,0.0,0,427
Elderberries,0,0.0,0,2709
Emmer wheat grain,0,0.0,0,2436
Emmer wheat grain,1,0.0,0,372
Enokitake,0,0.0,0,239
Equine fat tissue,0,0.0,0,612
Equine liver,0,0.0,0,38
Equine other slaughtering products (generic),0,0.0,0,20
Escaroles,0,8.679048776254123e-05,5,57610
Escaroles,1,0.0,0,2776
Escaroles and similar-,0,0.0,0,5853
Essences and extracts,1,0.0,0,568
European buffalo milk,0,0.0,0,140
European moose meat,0,0.0,0,3
"Extra hard cheese (parmesan, grana type)",0,0.0,0,1
Fennel leaves,0,0.0,0,1094
Fennel seed,0,0.0057692307692307696,6,1040
Fenugreek leaves,0,0.0,0,309
Fenugreek seed,0,0.0,0,1202
Field beans (dry seeds),0,0.00018824710570074986,6,31873
Field beans (dry seeds),1,0.0,0,5331
Figs,0,0.00014631113061926187,4,27339
Figs,1,0.0,0,1473
Filberts,0,0.0,0,468
Fingerrot roots,0,0.0,0,4213
Firm-ripened blue mould-veined cheese,0,0.0,0,1
Firm/semi-hard cheese (gouda and edam type),0,0.0,0,413
Firm/semi-hard cheese (gouda and edam type),1,0.0,0,87
Flageolets (dry seeds),1,0.0,0,315
Flat peaches,0,0.0,0,6926
Florence fennels,0,6.307026026994071e-05,3,47566
Florence fennels,1,0.0,0,5196
Florence fennels and similar-,0,0.00020358306188925082,1,4912
Florence fennels and similar-,1,0.0,0,417
Flour mix (like wheat/rye/barley/oats and other),0,0.0,0,1663
Flowers used for herbal infusions,1,0.0,0,240
"Follow-on formula, based on protein hydrolysates, powder",0,0.0007230657989877079,1,1383
"Follow-on formula, milk-based, liquid",0,0.0,0,3234
"Follow-on formula, milk-based, liquid",1,0.0,0,282
"Follow-on formula, milk-based, powder",0,0.00045597555970999955,10,21931
"Follow-on formula, milk-based, powder",1,0.00028996713705780014,3,10346
Follow-on formulae,0,4.954910316123278e-05,1,20182
Follow-on formulae,1,0.0,0,1197
"Follow-on formulae, liquid",0,0.0,0,273
"Follow-on formulae, powder",0,0.00042872454448017146,2,4665
"Follow-on formulae, powder",1,0.0007288629737609329,1,1372
Food for infants and young children,0,0.00010410160316468874,1,9606
French beans (with pods),0,0.000336965067954622,48,142448
French beans (with pods),1,0.0,0,9768
French beans canned,0,0.0,0,1181
Fresh uncured cheese,0,0.0,0,490
Fruit and vegetable juices and nectars specific for infants and young children,0,0.0,0,13413
Fruit and vegetable juices and nectars specific for infants and young children,1,0.0,0,18735
Fruit juice concentrates,1,0.0,0,273
Fruit juices (100% from named source),0,0.0,0,2754
Fruit juices (100% from named source),1,0.0,0,957
Fruit or fruit-vegetable puree,0,0.004329004329004329,1,231
Fruit or fruit-vegetable puree,1,0.0,0,1890
Fruit used as fruit,0,0.0,0,166
Fruiting vegetables,0,0.0,0,530
Fungi,0,0.0,0,168
Fuzzy kiwifruit,0,0.0,0,2113
Fuzzy kiwifruit,1,0.0,0,280
Gages,0,0.0,0,502
Galangal roots,0,0.0,0,304
Garden peas (dry),0,0.0005655042412818096,9,15915
Garden peas (dry),1,0.0,0,3183
Garden peas (with pods),0,0.00018542555164101615,2,10786
Garden peas (without pods),0,0.00012742911755336096,2,15695
Garden peas (without pods),1,0.0,0,1698
Garlic,0,9.797677950325773e-05,4,40826
Garlic,1,0.0,0,2724
Garlic and similar-,0,0.0,0,5519
Garlic and similar-,1,0.0,0,634
Gherkins,0,0.0004634994206257242,18,38835
Gherkins,1,0.0,0,508
Gherkins and similar-,0,0.0,0,388
Gherkins and similar-,1,0.0,0,188
Ginger roots,0,0.0007495970915632847,20,26681
Ginger roots,1,7.090941322460557e-05,2,28205
Ginger roots and similar-,0,0.0,0,279
Ginger roots spice,0,0.001996007984031936,1,501
Ginseng and similar-,0,0.0,0,457
Ginseng infusion roots,0,0.0,0,1
Ginseng infusion roots,1,0.0,0,764
Glassworts,0,0.0,0,145
Globe artichokes,0,6.300403225806451e-05,1,15872
Globe artichokes,1,0.0,0,815
Globe artichokes and similar-,0,0.0,0,2696
Globe artichokes and similar-,1,0.0,0,188
Globe tomato,0,0.0007385134778709712,14,18957
Globe tomato,1,0.0,0,2047
Goat fat tissue,0,0.0,0,3483
Goat fresh meat,0,0.0,0,1094
Goat fresh meat,1,0.0,0,200
Goat kidney,0,0.0,0,5
Goat liver,0,0.0,0,235
Goat milk,0,0.0002891844997108155,1,3458
Goat milk,1,0.0,0,2781
Gojiberry,0,0.0008365867261572784,3,3586
Gojiberry,1,0.0,0,1545
